代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,13.56,0.14,1.043,13.46,13.56,13.42,13.38,13.74,13.0,656429.0,8895246.0,15:30:01
bj920001,纬达光电,10.93,-0.92,-7.764,10.91,10.93,11.85,11.62,11.85,10.81,3458589.0,38661324.0,15:30:01
bj920002,万达轴承,52.0,-0.64,-1.216,51.92,52.0,52.64,52.0,53.5,51.0,738563.0,38467356.0,15:30:01
bj920003,中诚咨询,15.19,-0.3,-1.937,15.13,15.19,15.49,15.39,15.44,15.0,474464.0,7195277.0,15:30:01
bj920005,鼎佳精密,22.42,-1.51,-6.31,22.35,22.42,23.93,23.92,23.98,22.22,654340.0,14912393.0,15:30:01
bj920006,晟楠科技,14.94,-0.17,-1.125,14.89,14.94,15.11,15.11,15.46,14.81,818635.0,12372107.0,15:30:01
bj920007,酉立智能,32.65,-0.1,-0.305,32.65,32.72,32.75,32.8,33.48,32.41,148238.0,4879463.0,15:30:01
bj920008,成电光信,18.76,-0.09,-0.477,18.76,18.77,18.85,18.8,19.17,18.66,191881.0,3616631.0,15:30:01
bj920009,丹娜生物,35.75,-2.11,-5.573,35.75,35.78,37.86,37.9,38.37,35.75,574987.0,21135808.0,15:30:01
bj920010,凯添燃气,8.36,-0.24,-2.791,8.35,8.36,8.6,8.45,8.6,8.31,5365581.0,45121223.0,15:30:01
bj920011,晨光电机,18.13,-0.47,-2.527,18.06,18.13,18.6,18.5,18.69,17.97,575063.0,10466479.0,15:30:01
bj920012,创达新材,54.97,1.17,2.175,54.97,54.98,53.8,53.73,54.99,52.52,1055530.0,57018007.0,15:30:01
bj920014,特瑞斯,8.62,-0.1,-1.147,8.62,8.65,8.72,8.74,8.79,8.58,769282.0,6658159.0,15:30:01
bj920015,锦华新材,39.49,0.44,1.127,39.49,39.52,39.05,39.35,39.94,38.64,912510.0,36001158.0,15:30:01
bj920016,中草香料,12.67,-0.25,-1.935,12.67,12.71,12.92,12.99,13.01,12.52,532047.0,6774985.0,15:30:01
bj920017,星昊医药,16.27,-0.63,-3.728,16.27,16.29,16.9,16.81,16.98,16.15,2803522.0,46160554.0,15:30:01
bj920018,宏远股份,14.8,-0.2,-1.333,14.79,14.8,15.0,15.06,15.21,14.61,791363.0,11741796.0,15:30:01
bj920019,铜冠矿建,14.62,-0.12,-0.814,14.61,14.62,14.74,14.85,15.0,14.51,1553048.0,22988206.0,15:30:01
bj920020,泰凯英,15.18,0.33,2.222,15.15,15.18,14.85,14.86,15.31,14.82,575666.0,8727493.0,15:30:01
bj920021,流金科技,6.45,-0.12,-1.826,6.45,6.46,6.57,6.58,6.66,6.4,6575220.0,42828387.0,15:30:01
bj920022,世昌股份,18.13,-0.53,-2.84,18.02,18.13,18.66,18.6,18.75,17.86,233858.0,4235455.0,15:30:01
bj920023,*ST田野,1.82,-0.07,-3.704,1.82,1.83,1.89,1.88,1.9,1.82,3668132.0,6768733.0,15:30:01
bj920026,卓兆点胶,20.93,0.12,0.577,20.93,20.95,20.81,20.5,21.7,19.88,3685332.0,76131660.0,15:30:01
bj920027,交大铁发,11.43,-0.49,-4.111,11.43,11.45,11.92,11.74,11.81,11.4,1737129.0,20173173.0,15:30:01
bj920028,新恒泰,13.65,-0.31,-2.221,13.65,13.71,13.96,14.08,14.1,13.51,883623.0,12186432.0,15:30:01
bj920029,开发科技,34.8,0.3,0.87,34.8,34.84,34.5,34.45,35.34,34.26,789738.0,27663384.0,15:30:01
bj920030,德众汽车,4.34,-0.03,-0.686,4.3,4.34,4.37,4.38,4.43,4.29,680041.0,2955997.0,15:30:01
bj920033,康普化学,14.66,0.24,1.664,14.65,14.66,14.42,14.41,14.76,14.33,749445.0,10941492.0,15:30:01
bj920035,精创电气,23.13,-0.06,-0.259,23.13,23.18,23.19,23.15,23.68,22.9,422710.0,9862446.0,15:30:01
bj920036,觅睿科技,28.6,-0.02,-0.07,28.6,28.71,28.62,28.53,28.85,28.07,258605.0,7352910.0,15:30:01
bj920037,广信科技,42.35,0.95,2.295,42.35,42.39,41.4,41.81,42.96,41.31,1033265.0,43693932.0,15:30:01
